STT;SACH;BAI;CHUDE;MUCDO;CAUHOI;CAUTRALOI;DAPAN;MA_YCCD;NOIDUNG_YCCD
579;Kết nối tri thức;Một số lệnh làm việc với dữ liệu danh sách;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;"Kết quả của chương trình sau là gì? 
A = 1, 2, 3, 4, 5, 6, 5 
for k in A: 
   print(k, end = "" "") ";1 2 3 4 5 6.~1 2 3 4 5 6 5.~1 2 3 4 5.~2 3 4 5 6 5.;1 2 3 4 5 6 5.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học
580;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;"Kết quả của chương trình sau nếu. 
s = “python1221” 
s = input(""Nhập xâu kí tự bất kì:"") 
kq = False 
for i in range(len(s)-1): 
   if si == ""2"" and si+1 == ""1"": 
      kq = True 
      break
print(kq) ";True.~False.~Chương trình bị lỗi.~Vòng lặp vô hạn.;True.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
581;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Nhận biết;Xâu rỗng là xâu có độ dài bằng bao nhiêu? ;1.~2.~0.~3.;0.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
582;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;"Chương trình trên giải quyết bài toán gì?
s = """"
for i in range(10):
    s = s + str(i)
print(s)";In một chuỗi kí tự từ 0 tới 10.~In một chuỗi kí tự từ 0 tới 9.~In một chuỗi kí tự từ 1 tới 10.~In một chuỗi kí tự từ 1 đến 9.;In một chuỗi kí tự từ 0 tới 9.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
583;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;Để biết độ dài của xâu s ta dùng hàm gì? ;str(s).~len(s).~length(s).~s.len().;len(s).;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
584;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;"Có bao nhiêu xâu kí tự nào hợp lệ? 
1) “123_@##” 
2) “hoa hau” 
3) “346h7g84jd” 
4) python 
5) “01028475” 
6) 123456 ";5.~6.~4.~3;4.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
585;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Nhận biết;"Cho s = “123456abcdefg”, s1 = “124”, s2 = “235”, s3 = “ab”, s4 = “56” + s3 Có bao nhiêu biểu thức lôgic sau đúng? 
1) s1 in s. 
2) s2 in s. 
3) s3 in s. 
4) s4 in s. ";1.~2.~3.~4.;2.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
586;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;Kết quả của chương trình sau là bao nhiêu? >>> s = “abcdefg” >>> print(s2) ;‘c’.~‘b’.~‘a’.~‘d’.;‘c’.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
587;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Nhận biết;"Biểu thức sau cho kết quả đúng hay sai? 
S = “12345” 
S = “3e4r45” 
S = “45” 
S in S 
S in S";True, False.~True, True.~False, False.~False, True.;True, True.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
588;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;"Chương trình sau giải quyết bài toán gì? n = input(""Nhập n"") 
s = """" 
for i in range(n): 
    if i % 2 == 0: 
        s. append(i) 
print(s)";In ra một chuỗi các số từ 0 tới n.~Chương trình bị lỗi.~In ra một chuỗi các số lẻ từ 0 đến n.~In ra một chuỗi các số chẵn từ 0 đến n – 1.;Chương trình bị lỗi.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
589;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;Trong Python, xâu nào chương trình sẽ báo lỗi;""" This is a string in Python"",  \""Beautiful is better than ugly."". Said Tim Peters\.~Không có xâu bị lỗi., "" It\\s also a valid string""";Không có xâu bị lỗi.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
590;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Vận dụng;Cho xâu s1=’ha noi’, xâu s =’ha noi cua toi’. Khẳng định nào sau đây là đúng?;Xâu s2 lớn hơn xâu s1.~Xâu s1 bằng xâu s2.~Xâu s2 nhỏ hơn xâu s1.~Xâu s2 lớn hơn hoặc bằng xâu s1.;Xâu s2 lớn hơn xâu s1.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
591;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;Xâu “1 34%^^%TFRESDRG” có độ dài bằng bao nhiêu?;16.~17.~18.~15.;16.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
592;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;Cho xâu s1=’abc’, xâu s =’abc’. Khẳng định nào sau đây đúng;Xâu s2 lớn hơn xâu s1.~Xâu s1 bằng xâu s2.~Xâu s2 nhỏ hơn xâu s1.~Xâu s2 lớn hơn hoặc bằng xâu s1.; Xâu s1 bằng xâu s2.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
593;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Nhận biết;"Sau khi thực hiện lệnh sau, biến s sẽ có kết quả là 
s =""3986443"" 
s = """" 
for ch in s:
    if int(ch) %2 == 0: 
         s = s + ch 
print(s )";3986443.~8644.~39864.~443.;8644.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
594;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;"Kết quả đoạn chương trình sau là gì? 
S = ""0123456789"" 
T = """" 
for i in range(0, len(S), ): 
    T = T + S [i] 
print(T)";""""".~""02468"".~""13579"".~""0123456789"".";" ""02468"".";F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
595;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Nhận biết;"Nếu S = ""1234567890"" thì S[0:4] là gì?";"""123"".~""0123"".~""01234"".~""1234"".";" ""1234"".";F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
596;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Nhận biết;Trong Python, câu lệnh nào dùng để tính độ dài của xâu s?;len(s).~length(s).~s.len().~s. length().;len(s).;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
597;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Vận dụng;"Chuỗi sau được in ra mấy lần? 
s = ""abcdefghi"" 
for i in range(10): 
     if i % 4 == 0: 
            print(s)";0.~1.~2.~3.;3.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
598;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;"Chương trình sau cho kết quả là bao nhiêu? 
name = ""Codelearn"" 
print(name[0])";“C”.~“o”.~“c”.~Câu lệnh bị lỗi.;“C”.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
599;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Nhận biết;"Biểu thức logic ""01"" in ""10101"" sẽ trả về giá trị gì?";True.~False.~true.~false.;True.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
600;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Nhận biết;Phát biểu nào sau đây làsai?;Có thể truy cập từng kí tự của xâu thông qua chỉ số.~Chỉ số bắt đầu từ 0.~Có thể thay đổi từng kí tự của một xâu.~Python không có kiểu dữ liệu kí tự.;Có thể thay đổi từng kí tự của một xâu.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
601;Kết nối tri thức;Xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;"Kết quả của chương trình sau là bao nhiêu? 
>>> s = “0123145” 
>>> s[0] = ‘8’ 
>>> print(s[0])";‘8’.~‘0’.~‘1’.~Chương trình bị lỗi.;Chương trình bị lỗi.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
602;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Nhận biết;Để tạo xâu in hoa từ toàn bộ xâu hiện tại ta dùng hàm nào sau đây?;lower().~len().~upper().~srt().; upper().;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
603;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Nhận biết;Lệnh nào sau đây dùng để tách xâu;split().~join().~remove().~copy().;split().;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
604;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Nhận biết;Phát biểu nào chưa chính xác khi nói về toán tử in?;Biểu thức kiểm tra xâu 1 nằm trong xâu 2 là: <xâu 1> in <xâu 2>~Toán tử in trả về giá trị True nếu xâu 1 nằm trong xâu 2.~Toán tử in trả về giá trị False nếu xâu 1 không nằm trong xâu 2.~Toán tử in là toán tử duy nhất giải quyết được bài toán kiểm tra xâu có nằm trong xâu không.;Toán tử in là toán tử duy nhất giải quyết được bài toán kiểm tra xâu có nằm trong xâu không.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
605;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;"Lệnh sau trả lại giá trị gì? 
""0123456789"".find(""01 abc"")";-1.~0.~1.~Báo lỗi.;-1.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
606;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;Cho xâu s = “1, , 3, 4, 5”. Muốn xoá bỏ kí tự “,” và thay thế bằng dấu “ ” ta sử dụng lần lượt những câu lệnh nào?;remove() và join().~del() và replace().~split() và join().~split() và replace().;split() và join().;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
607;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Nhận biết;Lệnh sau trả lại giá trị gì? >> “abcdabcd”. find(“cd”) >> “abcdabcd”. find(“cd”, 4);2, 6.~3, 3.~2, 2.~2, 7.;2, 6.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
608;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Nhận biết;"Kết quả của chương trình sau là gì? 
>>> s = “Một năm có bốn mùa” 
>>> s.split() 
>>> st = “a, b, c, d, e, f, g, h” 
>>> st.split()";‘Một năm có bốn mùa’, ‘a’, ‘b’, ‘c’, ‘d’, ‘e’, ‘f’, ‘g’, ‘h’ .~‘Một’, ‘năm’, ‘có’, ‘bốn’, ‘mùa’ , ‘a’, ‘b’, ‘c’, ‘d’, ‘e’, ‘f’, ‘g’, ‘h’ .~‘Một năm có bốn mùa’, ‘abcdefgh’~‘Một’, ‘năm’, ‘có’, ‘bốn’, ‘mùa’ , ‘abcdefgh’.; ‘Một’, ‘năm’, ‘có’, ‘bốn’, ‘mùa’, ‘a’, ‘b’, ‘c’, ‘d’, ‘e’, ‘f’, ‘g’, ‘h’.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
609;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Nhận biết;"Lệnh sau trả lại giá trị gì? 
len("" Hà Nội Việt Nam """".split())";0.~4.~5.~Báo lỗi.; 4.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
610;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Vận dụng;"Cho xâu s = ""Python"". Muốn chuyển thành xâu s = ""P y t h o n"" ta cần làm sử dụng những câu lệnh";split() và join().~split() và replace().~del() và replace().~replace().;split() và join().;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
611;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;Để thay thế kí tự ‘a’ trong xâu s bằng một xâu mới rỗng ta dùng lệnh nào?;s=s.replace(‘a’,’’).~s=s.replace(‘a’).~s=replace(a,’’).~s=s.replace().;s=s.replace(‘a’,’’).;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
612;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Vận dụng;Sử dụng lệnh nào để tìm vị trí của một xâu con trong xâu khác không?;test().~in().~find().~split().;find().;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
613;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Nhận biết;Để tách một xâu thành danh sách các từ ta dùng lệnh nào?;Lệnh join().~Lệnh split().~Lệnh len().~Lệnh find().; Lệnh split().;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
614;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;Chọn phát biểusaitrong các phát biểu sau;Lệnh join() nối các phần tử của một danh sách thành một xâu, ngăn cách bởi dấu cách.~Trong lệnh join, kí tự nối tuỳ thuộc vào câu lệnh.~split() có tác dụng tách xâu.~Kí tự mặc định để phân cách split() là dấu cách.;Kí tự mặc định để phân cách split() là dấu cách.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
615;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;"Hoàn thành câu lệnh sau để in ra chiều dài của xâu x = ""Hello World"" print(…)";x. len().~len(x).~copy(x).~x. length().;len(x).;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
616;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;"Lệnh sau trả lại giá trị gì? ""Trường Sơn"".find(""Sơn"",4)";5.~6.~7.~8.; 7.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
617;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Nhận biết;Điền đáp án đúng vào chỗ chấm (…) hoàn thành phát biểu đúng sau “Python có các … để xử lí xâu là … dùng để tách câu thành một danh sách và lệnh join() dùng để … các xâu thành một xâu”.;câu lệnh, split(), nối.~câu lệnh đặc biệt, split(), tách xâu.~câu lệnh đặc biệt, copy(), nối danh sách.~câu lệnh đặc biệt, split(), nối danh sách.;câu lệnh đặc biệt, split(), nối danh sách.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
618;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Nhận biết;Muốn nối danh sách gồm các từ thành một xâu ta dùng lệnh nào?;Lệnh join().~Lệnh split().~Lệnh len().~Lệnh find().;Lệnh join().;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản~
