STT;SACH;BAI;CHUDE;MUCDO;CAUHOI;CAUTRALOI;DAPAN;MA_YCCD;NOIDUNG_YCCD
168;Kết nối tri thức;Dữ liệu lôgic;A;Nhận biết;Phép tuyển (phép cộng lôgic) của 2 mệnh đề đúng cho ra kết quả là gì?;Sai.~Không có giá trị.~Đúng.~Sai hoặc Đúng.;Đúng.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
169;Kết nối tri thức;Dữ liệu lôgic;A;Thông hiểu;Tìm mệnh đề hội của 2 mệnh đề: “Nam chăm chỉ” và “Nam học rất giỏi”?;Nam chăm chỉ và Nam học rất giỏi.~Nam học rất giỏi hoặc Nam chăm chỉ.~Nam không chăm chỉ và Nam học rất giỏi.~Nam chăm chỉ nhưng Nam không học giỏi.;Nam chăm chỉ và Nam học rất giỏi.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
170;Kết nối tri thức;Dữ liệu lôgic;A;Thông hiểu;Các giá trị lôgic “Đúng” và “Sai” được thể hiện lần lượt trong đại số lôgic bởi số nào?;0 và 1.~2 và 1.~1 và 0.~-1 và 1.;1 và 0.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
171;Kết nối tri thức;Dữ liệu lôgic;A;Vận dụng;Trong các mệnh đề sau, mệnh đề nào sau đây có mệnh đề đảo sai?;Tứ giác là hình bình hành thì có hai cặp cạnh đối bằng nhau.~Tam giác đều thì có ba góc có số đo bằng 60$^{0}$.~Hai tam giác bằng nhau thì có diện tích bằng nhau.~Một tứ giác có bốn góc vuông thì tứ giác đó là hình chữ nhật.;Hai tam giác bằng nhau thì có diện tích bằng nhau.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
172;Kết nối tri thức;Dữ liệu lôgic;A;Nhận biết;Mệnh đề dưới đây, mệnh đề nào đúng?;9 là số nguyên tố.~5 là hợp số.~3,2 là số vô tỉ.~0 không là số nguyên tố, cũng không là hợp số.;0 không là số nguyên tố, cũng không là hợp số.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
173;Kết nối tri thức;Dữ liệu lôgic;A;Thông hiểu;Trong các câu sau, có bao nhiêu câu là mệnh đề? (I) Hãy mở cửa ra! (II) Số 20 chia hết cho 8 (III) Số 17 là một số nguyên tố. (IV) Bạn có thích ăn phở không?;1.~2.~3.~4.;2;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
174;Kết nối tri thức;Dữ liệu lôgic;A;Thông hiểu;Trong ngôn ngữ lập trình Python, giá trị đúng thể hiện bởi:;Đ.~Đúng.~0.~Bất kì số nào khác 0.;Bất kì số nào khác 0.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
175;Kết nối tri thức;Dữ liệu lôgic;A;Thông hiểu;Trong các mệnh đề sau, mệnh đề nào sai?;Hai tam giác bằng nhau khi và chỉ khi chúng đồng dạng và có một cạnh bằng nhau.~Một tam giác là tam giác vuông khi và chỉ khi nó có một góc bằng tổng hai góc còn lại.~Một tam giác là tam giác đều khi và chủ khi nó có hai đường trung tuyến bằng nhau và có một góc bằng 60$^{0}$.~Một tứ giác là hình chữ nhật khi và chỉ khi nó có 3 góc vuông.;Hai tam giác bằng nhau khi và chỉ khi chúng đồng dạng và có một cạnh bằng nhau.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
176;Kết nối tri thức;Dữ liệu lôgic;A;Thông hiểu;Trong ngôn ngữ lập trình, các biến hay hàm có thể mang giá trị lôgic hay không?;Có.~Không.~Vừa có vừa không.~Không thể mang giá trị lôgic.;Có.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
177;Kết nối tri thức;Dữ liệu lôgic;A;Thông hiểu;Cần ít nhất bao nhiêu bit để biểu diễn dữ liệu lôgic?;0.~1.~2.~3.;1;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
178;Kết nối tri thức;Dữ liệu lôgic;A;Thông hiểu;Cần bao nhiêu bít để biểu diễn dữ liệu lôgic?;8.~2.~1.~3.;1;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
179;Kết nối tri thức;Dữ liệu lôgic;A;Thông hiểu;Phép hội, hay còn gọi là phép nhân lôgic được kí hiệu bởi từ tiếng anh nào?;OR.~AND~NOT.~MORE.;AND;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
180;Kết nối tri thức;Dữ liệu lôgic;A;Thông hiểu;Phép tính nào cho giá trị đúng khi p và q có giá trị khác nhau?;p AND q.~p XOR q.~p OR q.~NOT p.;p XOR q.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
181;Kết nối tri thức;Dữ liệu lôgic;A;Nhận biết;Đâu là thông tin có hai giá trị đối lập, có thể quy về kiểu lôgic?;Đáp án đúng/ Đáp án sai.~Trời sáng/ Trời tối.~Có mùi/ Không mùi.~Tất cả các đáp án trên.;Tất cả các đáp án trên.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
182;Kết nối tri thức;Dữ liệu lôgic;A;Thông hiểu;Kết quả của phép hội mệnh đề p và mệnh đề phủ định của p là gì?;1 hoặc 0.~Không có kết quả.~1.~0.;0;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
183;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Thông hiểu;Chu kì lấy mẫu là gì?;Khoảng thời gian giữa 2 lần điều chế mã xung.~Khoảng thời gian giữa 3 lần lấy mã xung.~Khoảng thời gian giữa 2 lần lấy mã xung.~Là thời điểm cách đều nhau.;Khoảng thời gian giữa 2 lần lấy mã xung.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
184;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Thông hiểu;Hình ảnh hiển thị trên máy tính sử dụng hệ màu nào?;RBY.~RGB.~CMYK.~Tất cả đều đúng;RGB;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
185;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Nhận biết;Lấy mẫu là công việc được thức hiện ở bước nào trong phương pháp cơ bản số hoá âm thanh?;Bước 2.~Bước 1.~Bước 3.~Bước 4.;Bước 1.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
186;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Nhận biết;Ảnh màu thông dụng có độ sâu màu là bao nhiêu bit?;12.~24.~30.~28.;24;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
187;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Nhận biết;Âm thanh là dữ liệu con người tiếp nhận qua giác quan nào?;Khứu giác.~Thính giác.~Thị giác.~Xúc giác.;Thính giác;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
188;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Nhận biết;Ảnh xám thông dụng có độ sâu màu là bao nhiêu bit?;4.~8.~32.~64.;8;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
189;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Nhận biết;Trong máy tính, mỗi điểm ảnh được mã hóa bởi bao nhiêu bit?;16.~24.~32.~48.;24;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
190;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Nhận biết;Bước thứ 2 của phương pháp cơ bản số hoá âm thanh ta thực hiện công việc gì?;Biểu diễn âm thanh.~Lấy mẫu.~Biểu diễn giá trị mẫu.~Tất cả các công việc trên.;Biểu diễn giá trị mẫu.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
191;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Nhận biết;Phương pháp điều chế mã xung được thực hiện qua mấy bước?;1.~2.~3.~4.;3;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
192;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Nhận biết;Dung lượng của ảnh định dạng .jpeg có tệp dung lượng;Khá nhỏ.~Lớn.~Rất lớn.~Rất nhỏ.;Khá nhỏ.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
193;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Nhận biết;Ảnh bitmap nguyên gốc được lưu vào các tệp có phần mở rộng là gì?;.bmp.~.jpeg.~.png.~.doc.;.bmp.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
194;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Thông hiểu;Số bit cần thiết để biểu diễn được một giây âm thanh được gọi là gì?;Tốc độ bit.~Quãng đường bit.~Chiều dài bit.~Tín hiệu số.;Tốc độ bit.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
195;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Nhận biết;Có bao nhiêu cách giải quyết vấn đề tốn bộ nhớ khi lưu ảnh?;6.~5.~4.~2.;2;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
196;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Nhận biết;Ảnh đen trắng có những màu sắc nào dưới đây?;Đỏ và đen.~Vô số màu sắc.~Đỏ, vàng và xanh.~Đen và trắng.;Đen và trắng.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
197;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Thông hiểu;Hình ảnh là dữ liệu con người tiếp nhận qua giác quan nào?;Thị giác.~Xúc giác.~Thính giác.~Không có giác quan nào.;Thị giác;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
198;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Nhận biết;Có bao nhiêu phương pháp chính làm giảm kích thước tệp?;4.~5.~3.~2.;2;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
199;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Nhận biết;Các thiết bị âm thanh số cần có mạch điện tử DAC làm gì?;Dẫn truyền điện.~Tạo lại tín hiệu tương tự từ tín hiệu số để phát ra loa hoặc tai nghe.~Dẫn truyền xung âm thanh.~Không có chức năng gì.;Tạo lại tín hiệu tương tự từ tín hiệu số để phát ra loa hoặc tai nghe.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
200;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Thông hiểu;:Ảnh bitmap nguyên gốc được lưu vào các tệp có phần mở rộng là:;.PNG.~.jpg.~.bmp.~.pic.;.bmp.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
201;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Thông hiểu;Phương pháp cơ bản của số hóa âm thanh là gì?;Khuếch đại mã xung.~Ngắt mã xung.~Truyền mã xung.~Điều chế mã xung.;Điều chế mã xung.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
202;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Nhận biết;Điều nào sai khi nói về ảnh định dạng “.jpeg”?;Kích thước tệp nhỏ, giảm được chi phí lưu trữ.~Kích thước tệp nhỏ nên khi dùng với web tải về nhanh hơn.~Tuy kích thước giảm đáng kể so với ảnh bitmap nhưng chất lượng ảnh đủ tốt.~Công nghệ web không dùng được với các định ảnh khác với “.jpeg”.;Công nghệ web không dùng được với các định ảnh khác với “.jpeg”.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
203;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Nhận biết;Hệ ba màu cơ bản gồm những màu nào?;đỏ, xanh lá cây - lục và xanh dương - lam.~vàng, xanh lá cây - lục và xanh dương - lam.~đỏ, chàm và xanh dương - lam.~đỏ, xanh lá cây - lục và tím.;đỏ, xanh lá cây - lục và xanh dương - lam.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
204;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Thông hiểu;Có mấy phương pháp chính để giảm kích thước tệp âm thanh?;2.~3.~4.~5.;2;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
205;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Nhận biết;Khi số hoá âm thanh, chu kì lấy mẫu tăng thì lượng thông tin lưu trữ tăng hay giảm?;Tăng.~Giảm.~Vừa tăng.~Vừa giảm.;Giảm.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
206;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;A;Thông hiểu;Máy tính có thể tiếp nhận dữ liệu âm thanh, hình ảnh không?;Không.~Có.~Chỉ nhận biết dữ liệu âm thanh~Không có dữ liệu âm thanh, hình ảnh.;Có.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~~~~~~
208;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Thông hiểu;Định nghĩa nào về Byte là đúng?;Là một kí tự.~Là đơn vị dữ liệu 8 bit.~Là đơn vị đo tốc độ của máy tính.~Là một dãy 8 chữ số.;Là một dãy 8 chữ số.;A7;Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~~~~~
209;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Thông hiểu;Trên điện thoại thông minh có các nút bấm nào?;Nút khoá.~Nút tăng/giảm âm lượng.~Nút khoá và Nút tăng/ giảm âm lượng.~Tất cả đều sai;Nút khoá và Nút tăng/ giảm âm lượng.;A7;Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~~~~~
210;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Nhận biết;Trợ thủ cá nhân hay còn gọi là:;PDA~PA~ADP.~AP;PDA.;A7;Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~~~~~
211;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Nhận biết;Trong bảng mã UNICODE, mỗi kí tự Tiếng Việt theo UTF-8 được biểu diễn bởi bao nhiêu byte?;1 byte.~2 byte.~4 byte.~từ 1 đến 3 byte.;từ 1 đến 3 byte.;A7;Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~~~~~
212;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Nhận biết;Kết nối nào không phải là kết nối phổ biến trên các PDA hiện nay?;Wifi.~Bluetooth.~Hồng ngoại.~USB;Hồng ngoại.;A7;Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~~~~~
213;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Nhận biết;Khi dùng điện thoại thông minh chụp ảnh, các file ảnh này có chuyển đến một điện thoại thông minh khác được không?;Chuyển được khi điện thoại mất kết nối.~Không chuyển được.~Chuyển được khi điện thoại có kết nối.~Chuyển được mọi lúc.;Chuyển được khi điện thoại có kết nối.;A7;Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~~~~~
214;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Thông hiểu;Một số chức năng thiết yếu của điện thoại là gì?;Gọi điện.~Nhắn tin.~Quản lý danh bạ.~Tất cả các chức năng.;Tất cả các chức năng.;A7;Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~~~~~
215;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Vận dụng;Câu trả lời đúng cho câu hỏi “Tại sao cần xây dựng bảng mã Unicode?”;Để đảm bảo bình đẳng cho mọi quốc gia trong ứng dụng tin học.~Bảng mã ASCII mã hoá mỗi kí tự bởi 1 byte. Giá thành thiết bị lưu trữ ngày càng rẻ nên không cần phải sử dụng các bộ kí tự mã hoá bởi 1 byte.~Dùng một bảng mã chung cho mọi quốc gia) giải quyết vấn đề thiếu vị trí cho bộ kí tự của một số quốc gia) đáp ứng nhu cầu dùng nhiều ngôn ngữ đồng thời trong cùng một ứng dụng.~Dùng cho các quốc gia sử dụng chữ tượng hình.;Dùng một bảng mã chung cho mọi quốc gia) giải quyết vấn đề thiếu vị trí cho bộ kí tự của một số quốc gia) đáp ứng nhu cầu dùng nhiều ngôn ngữ đồng thời trong cùng một ứng dụng.;A7;Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~~~~~
216;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Thông hiểu;Đâu không phải là thiết bị thông minh?;Đồng hồ vạn niên.~Máy tính bảng.~Đồng hồ kết nối với điện thoại thông qua bluetooth.~Máy tính xách tay.;Đồng hồ vạn niên.;A7;Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~~~~~
217;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Nhận biết;Laptop và điện thoại thông minh có thể trao đổi dữ liệu với nhau được không?;Trao đổi được mọi lúc.~Không trao đổi được.~Chỉ trao đổi được khi điện thoại và laptop có kết nối với nhau.~Chỉ trao đổi được khi điện thoại mất kết nối.;Chỉ trao đổi được khi điện thoại và laptop có kết nối với nhau.;A7;Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~~~~~
218;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Thông hiểu;Đặc điểm quan trọng của PDA là:;Có bộ nhớ lớn, có khả năng kết nối wifi.~Nhỏ gọn, có khả năng kết nối mạng.~Có chức năng liên lạc.~Có khả năng kết nối mạng.;Nhỏ gọn, có khả năng kết nối mạng.;A7;Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~~~~~
219;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Thông hiểu;Màn hình chính của điện thoại thông minh có những thông tin nào?;Thanh trạng thái.~Các biểu tượng ứng dụng (application - gọi tắt app) cài trên máy.~Thanh truy cập nhanh.~Tất cả các nội dung đều đúng.;Tất cả các nội dung đều đúng.;A7;Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~~~~~
220;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Thông hiểu;Ứng dụng nào sau đây là ứng dụng tiêu biểu của thiết bị số?;Nghe.~Gọi điện thoại.~Nghe nhạc.~Tất cả các đáp án trên đều dúng.;Tất cả các đáp án trên đều dúng.;A7;Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~~~~~
221;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Thông hiểu;Để lưu trữ file ảnh lên dịch vụ lưu trữ đám mây, điện thoại thông minh có thực hiện được không?;Thực hiện được mọi lúc.~Không thực hiện được.~Chỉ thực hiện được khi điện thoại có kết nối với Internet.~Chỉ thực hiện được khi điện thoại mất sóng.;Chỉ thực hiện được khi điện thoại có kết nối với Internet.;A7;Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~~~~~
222;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Nhận biết;Điện thoại thông minh có thể nhắn tin bằng giọng nói được không?;Được mọi lúc.~Không được.~Được khi có sóng.~Được khi mất sóng.;Được khi có sóng.;A7;Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~~~~~
223;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Nhận biết;Đâu không phải một trợ thủ cá nhân;Máy tính bảng.~Đồng hồ thông minh.~Đồng hồ cơ.~Điện thoại thông minh.;Đồng hồ cơ.;A7;Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~~~~~
224;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Nhận biết;Bạn An gọi điện nói với em: “Ngày mai có một bộ phim hoạt hình được chiếu ở rạp lúc 8 giờ, tớ đã thấy ở poster gần trường mình, mai cậu xin phép bố mẹ và đi xem với tớ nhé”. Theo em thông tin mà bạn An biết được khi nói với em ở dạng nào?;Viết.~Nói.~Vẽ.~Hình ảnh.;Nói.;A7;Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~~~~~
225;Kết nối tri thức;Mạng máy tính trong cuộc sống hiện đại;B;Thông hiểu;Mạng cục bộ viết tắt là gì?;LAN.~WAN.~MC~Không có kí tự viết tắt.;LAN.;B1;Trình bày được những thay đổi về chất lượng cuộc sống, phương thức học tập và làm việc trong xã hội mà ở đó mạng máy tính được sử dụng phổ biến. ~~~~~~
226;Kết nối tri thức;Mạng máy tính trong cuộc sống hiện đại;B;Thông hiểu;Phần mềm có thể chia thành mấy nhóm?;3.~2.~4.~5.;2;B1;Trình bày được những thay đổi về chất lượng cuộc sống, phương thức học tập và làm việc trong xã hội mà ở đó mạng máy tính được sử dụng phổ biến. ~~~~~~
227;Kết nối tri thức;Mạng máy tính trong cuộc sống hiện đại;B;Nhận biết;Các thiết bị sau đây, thiết bị nào không phải là thiết bị mạng?;Vỉ mạng.~Hub.~Môdem.~Webcam.;Webcam.;B1;Trình bày được những thay đổi về chất lượng cuộc sống, phương thức học tập và làm việc trong xã hội mà ở đó mạng máy tính được sử dụng phổ biến. ~~~~~~
228;Kết nối tri thức;Mạng máy tính trong cuộc sống hiện đại;B;Vận dụng;Bộ định tuyến (Router) có thể có mấy cổng mạng?;4.~5.~7.~Vô số.;Vô số.;B1;Trình bày được những thay đổi về chất lượng cuộc sống, phương thức học tập và làm việc trong xã hội mà ở đó mạng máy tính được sử dụng phổ biến. ~~~~~~
